Single Year of Age,Female,Male
0,1762,1851
1,1722,1805
2,1811,1890
3,1843,1938
4,1864,1980
5,1959,2043
6,2039,2131
7,2098,2214
8,2152,2268
9,2202,2311
10,2254,2377
11,2304,2394
12,2331,2435
13,2299,2405
14,2255,2334
15,2156,2247
16,2073,2165
17,2065,2186
18,2053,2119
19,1983,2054
20,1976,2008
21,1868,1923
22,1923,1966
23,1878,1929
24,1835,1890
25,1831,1873
26,1804,1836
27,1846,1823
28,1862,1806
29,1934,1874
30,2053,1929
31,2107,2015
32,2149,2026
33,2156,1993
34,2268,2070
35,2371,2168
36,2439,2239
37,2450,2277
38,2556,2345
39,2662,2422
40,2696,2519
41,2731,2588
42,2709,2603
43,2588,2455
44,2461,2371
45,2407,2357
46,2383,2331
47,2342,2316
48,2322,2280
49,2318,2291
50,2262,2253
51,2189,2183
52,2151,2147
53,2013,2038
54,2010,2003
55,1973,1960
56,1955,1918
57,1985,1931
58,1916,1861
59,1875,1825
60,1816,1778
61,1804,1741
62,1744,1695
63,1644,1618
64,1632,1570
65,1574,1556
66,1541,1485
67,1533,1477
68,1439,1406
69,1461,1412
70,1369,1328
71,1327,1278
72,1322,1248
73,1258,1195
74,1199,1156
75,1143,1092
76,1104,1006
77,998,913
78,917,837
79,871,760
80,761,667
81,699,592
82,672,549
83,624,494
84,556,423
85,519,385
86,469,336
87,423,282
88,370,236
89,310,190
90,268,153
91,236,122
92,176,81
93,145,59
94,109,45
95,84,30
96,60,20
97,46,14
98,31,8
99,21,7
100,36,10
